317,604,466,288,272,0
317,604,466,288,272,0
330,582,466,283,284,0
330,582,466,283,284,0
345,566,466,280,293,0
345,566,466,280,293,0
345,566,466,280,293,0
345,566,466,280,293,0
361,554,466,280,300,0
361,554,466,280,300,0
378,545,466,283,305,0
378,545,466,283,305,0
394,533,466,285,310,0
394,533,466,285,310,0
395,533,466,285,310,0
395,533,466,285,310,0
413,544,466,296,305,0
413,544,466,296,305,0
425,554,466,303,301,0
425,554,466,303,301,0
425,554,466,303,301,0
425,554,466,303,301,0
433,569,466,309,294,0
433,569,466,309,294,0
441,582,466,314,288,0
441,582,466,314,288,0
446,596,466,318,281,0
446,596,466,318,281,0
432,598,466,314,281,0
432,598,466,314,281,0
414,598,466,309,282,0
414,598,466,309,282,0
400,598,466,304,282,0
400,598,466,304,282,0
389,596,466,301,283,0
389,596,466,301,283,0
377,597,466,298,282,0
377,597,466,298,282,0
366,597,466,295,281,0
366,597,466,295,281,0
359,597,466,293,281,0
359,597,466,293,281,0
345,598,466,291,279,0
345,598,466,291,279,0
325,601,466,288,274,0
325,601,466,288,274,0
